"","Sample_ID","ID","Classification","Intensity Mean Ch=1","Overlapped Volume Ratio to FDCs","Sphericity","Volume Âµm^3"
"1","Lymph_node_1","0","A","1582.31","0.336032","0.90945","2.31E+06"
"2","Lymph_node_1","1","A","1612.13","0.46583","0.8691","815516"
"3","Lymph_node_1","10","A","1809.49","0.0604837","0.873957","2.23E+06"
"4","Lymph_node_1","11","B","2218.27","0.159958","0.787925","434762"
"5","Lymph_node_1","12","A","2311.06","0.604095","0.840938","1.11E+06"
"6","Lymph_node_1","13","B","2296.62","0.449272","0.877061","1.09E+07"
"7","Lymph_node_1","14","A","2379.79","0.332168","0.940995","3.62E+06"
"8","Lymph_node_1","15","B","1616.91","0.27985","0.817562","8.06E+06"
"9","Lymph_node_1","16","C","2052.49","0.313076","0.940103","1.03E+06"
"10","Lymph_node_1","17","C","2319.8","0.219807","0.881268","5.80E+06"
"11","Lymph_node_1","18","A","1861.83","0.305488","0.804207","9.59E+06"
"12","Lymph_node_1","19","A","1811.85","0.333924","0.902039","6.99E+06"
"13","Lymph_node_1","2","B","1906.93","0.112298","0.819703","961666"
"14","Lymph_node_1","3","B","1956.95","0.422711","0.92064","2.28E+06"
"15","Lymph_node_1","5","C","2288.21","0.519581","0.907006","4.07E+06"
"16","Lymph_node_1","6","C","1648.5","0.106169","0.892584","620580"
"17","Lymph_node_1","8","C","2343.4","0.470535","0.883238","5.69E+06"
"18","Lymph_node_2","","","",NA,NA,NA
"19","Lymph_node_2","","","",NA,NA,NA
"20","Lymph_node_2","","","",NA,NA,NA
"21","Lymph_node_2","","","",NA,NA,NA
"22","Lymph_node_2","10","A","2723.05","0.529584","0.946369","2.57E+06"
"23","Lymph_node_2","11","B","2944.08","0.377483","0.877263","5.05E+06"
"24","Lymph_node_2","12","C","3191.64","0.32103","0.905034","4.39E+06"
"25","Lymph_node_2","13","B","2800.64","0.69154","0.934677","3.28E+06"
"26","Lymph_node_2","14","A","2974.37","0.524239","0.950293","1.56E+06"
"27","Lymph_node_2","15","B","2779.79","0.543728","0.873168","5.37E+06"
"28","Lymph_node_2","2","B","2351.96","0.137421","0.877258","3.79E+06"
"29","Lymph_node_2","3","C","2510.49","0.401469","0.915445","4.47E+06"
"30","Lymph_node_2","4","C","2792.1","0.246156","0.948628","2.25E+06"
"31","Lymph_node_2","5","C","2164.23","0.564974","0.754603","1.17E+06"
"32","Lymph_node_2","6","A","2784.4","0.395752","0.920186","6.36E+06"
"33","Lymph_node_2","7","B","2707.01","0.464527","0.951082","6.08E+06"
"34","Lymph_node_2","8","A","2745.66","0.727685","0.912671","1.79E+06"
"35","Lymph_node_2","9","B","2753.66","0.188144","0.888266","523920"
"36","Lymph_node_3","0","A","1893.87","0.206584","0.879861","1.42E+06"
"37","Lymph_node_3","10","C","2285.36","0.305854","0.869991","2.96E+06"
"38","Lymph_node_3","11","A","2380.57","0.504759","0.86524","6.07E+06"
"39","Lymph_node_3","12","C","2533.56","0.409954","0.74339","1.95E+06"
"40","Lymph_node_3","13","C","1893.22","0.464335","0.927116","4.17E+06"
"41","Lymph_node_3","14","B","1654.27","0","0.771235","193203"
"42","Lymph_node_3","15","A","1889.01","0.509026","0.89088","1.59E+06"
"43","Lymph_node_3","16","B","1797.36","0","0.905372","498078"
"44","Lymph_node_3","17","B","2166.45","0","0.890325","894509"
"45","Lymph_node_3","18","C","2042.49","0.322516","0.899243","6.79E+06"
"46","Lymph_node_3","19","C","2398.11","0.491219","0.906153","4.53E+06"
"47","Lymph_node_3","2","B","1895.3","0.343603","0.93622","1.40E+06"
"48","Lymph_node_3","20","C","2435.44","0.377387","0.829413","2.98E+06"
"49","Lymph_node_3","24","B","1828.65","0.417637","0.907579","5.09E+06"
"50","Lymph_node_3","27","A","1868.23","0.181866","0.923182","2.55E+06"
"51","Lymph_node_3","28","B","2244.27","0.537817","0.784949","4.49E+06"
"52","Lymph_node_3","29","B","2062.9","0.353743","0.858074","4.31E+06"
"53","Lymph_node_3","3","B","1708.26","0","0.755233","267511"
"54","Lymph_node_3","30","B","1762.76","0.350453","0.893987","5.55E+06"
"55","Lymph_node_3","31","C","2047.31","0.367482","0.828779","4.89E+06"
"56","Lymph_node_3","32","A","1825.25","0.395811","0.897866","2.56E+06"
"57","Lymph_node_3","4","B","2266.78","0.368413","0.899237","3.61E+06"
"58","Lymph_node_3","6","B","1979.99","0.265743","0.824003","1.81E+06"
"59","Lymph_node_3","7","C","2067.91","0.451258","0.778653","6.20E+06"
"60","Lymph_node_3","9","C","2050.76","0.275075","0.916185","2.22E+06"
